City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ust'-uda,54.1742,103.0304,290.51,71,2,0.85,RU,1722901242
84,albany,42.6001,-73.9662,299.46,71,86,1.87,US,1722901059
85,veraval,20.9,70.3667,300.74,84,100,7.46,IN,1722901245
86,buka,40.8108,69.1986,293.65,32,1,3.24,UZ,1722901246
87,bovril,-31.3431,-59.4451,288.1,96,100,2.24,AR,1722901247
88,queenstown,-31.8976,26.8753,279.95,28,0,2.39,ZA,1722901248
89,whitefish,48.4111,-114.3376,297.01,57,0,2.06,US,1722901249
90,al muharraq,26.2572,50.6119,308.13,34,0,0.45,BH,1722901250
91,tamanrasset,22.785,5.5228,303.1,23,40,1.03,DZ,1722901251
92,abu dhabi,24.4667,54.3667,309.23,69,20,2.57,AE,1722901121
93,port douglas,-16.4833,145.4667,295.6,72,8,3.43,AU,1722901253
94,chernyshevskiy,63.0128,112.4714,288.07,83,98,1.63,RU,1722901254
95,st. john's,47.5649,-52.7093,294.35,97,75,9.26,CA,1722901256
96,aioun,16.6614,-9.6149,302.72,63,74,5.39,MR,1722901257
97,lorengau,-2.0226,147.2712,302.03,72,61,4.07,PG,1722901258
98,shetpe,44.1667,52.1167,302.22,31,57,0.59,KZ,1722901259
99,ostersund,63.1792,14.6357,290.4,82,75,3.6,SE,1722901260
100,fale old settlement,-9.3852,-171.2468,301.2,75,100,4.52,TK,1722901261
101,minot,48.2325,-101.2963,290.38,77,100,2.57,US,1722901096
102,dudinka,69.4058,86.1778,281.85,63,74,8.74,RU,1722901264
103,port alfred,-33.5906,26.891,285.86,63,0,3.33,ZA,1722901265
104,kapchorwa,1.3965,34.4509,286.78,90,84,1.31,UG,1722901266
105,san bartolo,19.1833,-100.05,289.48,92,88,1.19,MX,1722901267
106,kapa'a,22.0752,-159.319,302.33,68,20,5.66,US,1722901268
107,malango,-2.9627,119.9001,295.07,84,18,0.83,ID,1722901269
108,bethel,41.3712,-73.414,300.94,80,43,2.96,US,1722901270
109,neverkino,52.7854,46.7417,291.58,68,67,1.13,RU,1722901271
110,longyearbyen,78.2186,15.6401,282.06,87,75,4.63,SJ,1722901119
111,nioki,-2.7167,17.6833,298.86,57,49,1.57,CD,1722901274
112,vilyuysk,63.7553,121.6247,290.0,63,56,2.87,RU,1722901275
113,kruisfontein,-34.0033,24.7314,281.86,55,0,1.92,ZA,1722901145
114,udachny,66.4167,112.4,282.37,78,98,8.62,RU,1722901124
115,grass valley,39.2191,-121.0611,308.4,25,0,1.34,US,1722901280
116,la'ie,21.6477,-157.9253,304.13,72,87,4.92,US,1722901186
117,pisco,-13.7,-76.2167,290.18,82,0,6.69,PE,1722901141
118,birao,10.2849,22.7882,294.59,94,24,2.02,CF,1722901283
119,wanganui,-39.9333,175.05,284.55,72,98,2.38,NZ,1722901284
120,sitka,57.0531,-135.33,293.09,73,0,2.57,US,1722901285
121,ribeira grande,38.5167,-28.7,298.02,92,40,3.58,PT,1722901287
122,svetlyy,54.675,20.1347,292.18,94,19,3.15,RU,1722901288
123,pasuquin,18.3328,120.6177,300.12,89,75,2.06,PH,1722901184
124,mikuni,36.2171,136.1519,301.1,78,14,1.43,JP,1722901290
125,hammerfest,70.6634,23.6821,288.97,58,8,4.0,NO,1722901291
126,ust-nera,64.5667,143.2,290.18,47,100,1.92,RU,1722901292
127,xiva,41.3783,60.3639,294.14,17,0,4.23,UZ,1722901293
128,lerwick,60.1545,-1.1494,287.15,99,99,2.74,GB,1722901294
129,machico,32.7,-16.7667,297.5,74,40,3.6,PT,1722901296
130,wenchang,30.904,118.4887,302.56,60,60,1.14,CN,1722901298
131,talnakh,69.4865,88.3972,284.08,59,59,1.92,RU,1722901299
132,deqen,29.9618,90.7188,281.77,90,84,1.33,CN,1722901300
133,latakia,35.5148,35.7768,301.28,69,0,6.22,SY,1722901301
134,glendive,47.1053,-104.7125,292.94,72,100,6.69,US,1722901302
135,port mathurin,-19.6833,63.4167,295.31,78,16,6.02,MU,1722901303
136,yaguachi nuevo,-2.1167,-79.6833,302.14,65,48,5.07,EC,1722901304
137,mahibadhoo,3.7833,72.9667,301.38,71,100,4.9,MV,1722901305
138,flying fish cove,-10.4217,105.6791,296.97,94,100,5.14,CX,1722901300
139,wenling,28.3669,121.36,301.52,77,1,1.12,CN,1722901307
140,jamestown,42.097,-79.2353,297.05,96,100,2.06,US,1722901308
141,dali,25.7,100.1833,290.64,93,80,1.09,CN,1722901309
142,monrovia,6.3005,-10.7969,298.02,86,49,4.22,LR,1722901226
143,lukolela,-1.0605,17.1821,297.19,68,93,1.05,CD,1722901311
144,salinopolis,-0.6136,-47.3561,300.29,78,36,6.56,BR,1722901312
145,tindouf,27.6711,-8.1474,309.4,9,1,5.66,DZ,1722901313
146,afaahiti,-17.75,-149.2833,299.85,80,46,6.91,PF,1722901315
147,haiku-pauwela,20.9219,-156.3051,302.18,69,40,10.29,US,1722901316
148,loreto,22.2667,-101.9667,298.21,32,2,7.79,MX,1722901021
149,lesnikovo,55.2822,65.3175,289.49,96,96,2.65,RU,1722901318
150,college,64.8569,-147.8028,303.4,33,20,4.63,US,1722901306
151,vila velha,-20.3297,-40.2925,295.12,92,0,2.06,BR,1722901183
152,avarua,-21.2078,-159.775,299.18,78,20,5.66,CK,1722901319
153,gorontalo,0.5412,123.0595,299.83,79,69,0.68,ID,1722901322
154,yukuhashi,33.7287,130.983,304.96,79,20,2.57,JP,1722901323
155,kodinsk,58.6881,99.1844,290.68,67,8,1.58,RU,1722901324
156,san francisco de la paz,14.9,-86.2,304.99,88,80,1.89,HN,1722901325
157,narvik,68.4384,17.4272,292.25,61,93,2.7,NO,1722901326
158,ende,-8.8432,121.6623,297.46,79,65,2.02,ID,1722901327
159,puerto baquerizo moreno,-0.9,-89.6,293.34,82,49,5.66,EC,1722901192
160,saint johnsbury,44.4192,-72.0151,293.73,95,100,0.0,US,1722901329
161,cabo san lucas,22.8909,-109.9124,306.76,56,0,6.69,MX,1722901330
162,hawaiian paradise park,19.5933,-154.9731,300.88,70,0,4.63,US,1722901263
163,nguigmi,14.2495,13.1092,299.75,73,100,3.23,NE,1722901333
164,saipan,15.1355,145.701,303.54,79,75,2.57,MP,1722901334
165,east london,-33.0153,27.9116,286.51,53,0,2.86,ZA,1722901335
166,bamboo flat,11.7,92.7167,299.2,94,75,1.03,IN,1722901336
167,invercargill,-46.4,168.35,285.38,70,63,4.02,NZ,1722901337
168,klyuchi,52.2667,79.1667,291.41,67,59,2.67,RU,1722901338
169,bria,6.5423,21.9863,293.61,96,69,1.13,CF,1722901339
170,saldanha,-33.0117,17.9442,279.18,84,0,2.79,ZA,1722901340
171,sur,22.5667,59.5289,301.94,69,100,3.22,OM,1722901341
172,la passe,45.5549,-0.8967,294.28,90,0,3.3,FR,1722901342
173,aasiaat,68.7098,-52.8699,277.38,90,57,2.69,GL,1722901343
174,el bolson,-41.9667,-71.5167,275.21,98,96,1.78,AR,1722901344
175,wailua homesteads,22.0669,-159.378,301.59,71,20,5.66,US,1722901345
176,selfoss,63.9331,-20.9971,283.73,97,100,1.72,IS,1722901346
177,gore,-46.1028,168.9436,283.19,64,25,2.86,NZ,1722901349
178,dalbandin,28.8947,64.4101,302.48,61,58,4.06,PK,1722901350
179,santiago de surco,-12.15,-77.0167,290.89,81,40,4.63,PE,1722901351
180,catia la mar,10.6038,-67.0303,302.03,75,95,4.12,VE,1722901352
181,guangyuan,32.442,105.823,299.43,88,5,0.59,CN,1722901353
182,revda,56.801,59.9303,287.41,94,97,3.37,RU,1722901354
183,dubbo,-32.25,148.6167,282.22,93,75,1.03,AU,1722901231
184,tapejara,-28.0681,-52.0139,290.41,86,57,0.64,BR,1722901214
185,kedougou,12.5579,-12.1743,299.47,89,20,5.14,SN,1722901357
186,khandyga,62.6667,135.6,284.03,90,100,2.98,RU,1722901358
187,trinidad,-14.8333,-64.9,301.14,69,40,2.57,BO,1722901220
188,hunchun,42.8675,130.3581,294.39,99,100,1.13,CN,1722901360
189,pihuamo,19.2499,-103.3828,302.08,94,80,0.97,MX,1722901362
190,rawson,-43.3002,-65.1023,282.52,76,100,1.01,AR,1722901132
191,tidjikja,18.5564,-11.4271,303.42,53,50,5.77,MR,1722901364
192,bhopal,23.2667,77.4,297.14,93,57,1.79,IN,1722900828
193,vilyuchinsk,52.9306,158.4028,287.3,79,100,2.16,RU,1722901367
194,leava,-14.3,-178.1667,299.36,80,72,8.63,WF,1722901368
195,walvis bay,-22.9575,14.5053,283.76,86,0,2.09,NA,1722901369
196,constantia,44.1833,28.65,292.53,65,34,4.73,RO,1722901370
197,itacare,-14.2775,-38.9967,295.07,72,0,3.75,BR,1722901371
198,sao joao da barra,-21.6403,-41.0511,295.2,84,0,8.65,BR,1722901372
199,nuku'alofa,-21.1333,-175.2,297.34,60,40,3.09,TO,1722900914
200,broome,42.2506,-75.833,294.93,87,40,3.09,US,1722901374
201,hasaki,35.7333,140.8333,303.37,78,3,3.42,JP,1722901375
202,rundu,-17.9333,19.7667,286.71,27,0,2.99,NA,1722901376
203,lejanias,3.5251,-74.0216,293.63,94,69,1.07,CO,1722901377
204,alice springs,-23.7,133.8833,281.9,87,0,3.09,AU,1722901378
205,rosario,-32.9468,-60.6393,289.23,74,100,3.58,AR,1722901379
206,gadzhiyevo,69.2551,33.3362,280.93,76,2,1.58,RU,1722901381
207,puerto san jose,13.9256,-90.8244,304.18,62,75,3.09,GT,1722901382
208,wete,-5.0559,39.7294,295.27,86,1,2.7,TZ,1722901383
209,taulaga,-11.0553,-171.0883,300.28,81,46,5.53,AS,1722900818
210,mirnyy,62.5353,113.9611,289.27,67,93,2.25,RU,1722901386
211,kone,-21.0595,164.8658,296.99,43,4,2.0,NC,1722900869
212,sinop,41.7711,34.8709,289.8,95,56,0.94,TR,1722901141
213,kita,13.0349,-9.4895,295.56,95,56,0.87,ML,1722901390
214,hadibu,12.65,54.0333,298.39,81,36,8.9,YE,1722900968
215,qaqortoq,60.7167,-46.0333,281.77,79,100,0.53,GL,1722901392
216,namibe,-15.1961,12.1522,290.62,89,75,0.04,AO,1722901393
217,codrington,-38.2667,141.9667,283.38,83,78,7.15,AU,1722901394
218,poggiardo,40.0542,18.3791,298.19,65,0,3.29,IT,1722901395
219,whitby,54.4877,-0.615,293.88,82,37,0.89,GB,1722901396
220,hamilton,39.1834,-84.5333,305.62,56,0,3.6,US,1722901257
221,suncho corral,-27.9336,-63.4294,293.28,46,0,2.7,AR,1722901398
222,kingston,17.997,-76.7936,304.68,70,20,6.17,JM,1722901199
